area,building_type,location,num_bath_rooms,num_bed_rooms,price
4 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.4 Crore
3 Beds,Apartment,"Meradia, Khilgaon, Dhaka",3 Beds,3 Beds,87 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,86 Lakh
4 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",4 Beds,4 Beds,1 Crore
3 Beds,Apartment,"Sector 13, Uttara, Dhaka",3 Beds,3 Beds,1.4 Crore
4 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",4 Beds,4 Beds,1 Crore
3 Beds,Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3 Beds,3 Beds,1.3 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore
3 Beds,Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,2.8 Crore
3 Beds,Apartment,"Naya Paltan, Motijheel, Dhaka",3 Beds,3 Beds,1.45 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,49 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.25 Crore
5 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",5 Beds,5 Beds,2.05 Crore
3 Beds,Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.05 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.28 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Block J, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
2 Beds,Apartment,"East Hazipara, East Rampura, Rampura, Dhaka",2 Beds,2 Beds,68 Lakh
4 Beds,Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,6.8 Crore
3 Beds,Apartment,"Block D, Section 15, Mirpur, Dhaka",3 Beds,3 Beds,1.43 Crore
3 Beds,Apartment,"Narinda, Sutrapur, Dhaka",3 Beds,3 Beds,84 Lakh
3 Beds,Apartment,"Block A, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.15 Crore
3 Beds,Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.85 Crore
3 Beds,Apartment,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Beds,96 Lakh
2 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",2 Beds,2 Beds,35 Lakh
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,89 Lakh
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",4 Beds,4 Beds,95 Lakh
3 Beds,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",3 Beds,3 Beds,1.25 Crore
2 Beds,Apartment,"East Hazipara, East Rampura, Rampura, Dhaka",2 Beds,2 Beds,68 Lakh
2 Beds,Apartment,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",2 Beds,2 Beds,42.5 Lakh
3 Beds,Apartment,"Priyanka City, Sector 12, Uttara, Dhaka",3 Beds,3 Beds,1.35 Crore
4 Beds,Apartment,"Block M, Banasree, Dhaka",4 Beds,4 Beds,1.38 Crore
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,89 Lakh
3 Beds,Apartment,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",3 Beds,3 Beds,62 Lakh
3 Beds,Apartment,"Nayatola, Maghbazar, Dhaka",3 Beds,3 Beds,86 Lakh
3 Beds,Apartment,"Block A, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Badda, Dhaka",3 Beds,3 Beds,93 Lakh
4 Beds,Apartment,"Sector 2, Block H, Aftab Nagar, Dhaka",4 Beds,4 Beds,1.55 Crore
2 Beds,Apartment,"West Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,55 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,1.35 Crore
2 Beds,Apartment,"Badda, Dhaka",2 Beds,2 Beds,79 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.16 Crore
2 Beds,Apartment,"Priyanka Runway City, Bawnia, Turag, Dhaka",2 Beds,2 Beds,85 Lakh
,Plot,"Section 11, Mirpur, Dhaka",,,1.8 Crore
3 Beds,Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.74 Crore
3 Beds,Apartment,"Bawnia, Turag, Dhaka",3 Beds,3 Beds,80 Lakh
4 Beds,Duplex,"Dhanmondi, Dhaka",4 Beds,4 Beds,3.9 Crore
3 Beds,Apartment,"Bawnia, Turag, Dhaka",3 Beds,3 Beds,86 Lakh
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Mohammadpur, Dhaka",3 Beds,3 Beds,2.22 Crore
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.37 Crore
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
2 Beds,Apartment,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",2 Beds,2 Beds,38 Lakh
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.13 Crore
3 Beds,Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 Beds,3 Beds,90 Lakh
2 Beds,Apartment,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",2 Beds,2 Beds,40 Lakh
3 Beds,Apartment,"Jamtola, East Rampura, Rampura, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 Beds,3 Beds,72 Lakh
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Rupnagar R/A, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Tejturi Bazar, Tejgaon, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.29 Crore
2 Beds,Apartment,"Sector 14, Uttara, Dhaka",2 Beds,2 Beds,70 Lakh
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.38 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.06 Crore
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.26 Crore
3 Beds,Apartment,"Block C Extension, Banasree, Dhaka",3 Beds,3 Beds,92 Lakh
3 Beds,Apartment,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Block A, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore
4 Beds,Apartment,"Block I, Bashundhara R-A, Dhaka",4 Beds,4 Beds,1.8 Crore
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.16 Crore
3 Beds,Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.15 Crore
3 Beds,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3 Beds,3 Beds,1.05 Crore
3 Beds,Apartment,"Sector 1, Block F, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.05 Crore
3 Beds,Apartment,"Sector 1, Block F, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.05 Crore
2 Beds,Apartment,"Block F, Dhaka Uddan, Mohammadpur, Dhaka",2 Beds,2 Beds,45 Lakh
3 Beds,Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"Sector 1, Block F, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.22 Crore
3 Beds,Apartment,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",3 Beds,3 Beds,79 Lakh
3 Beds,Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.3 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,60 Lakh
,Plot,"Eskaton, Dhaka",,,12 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,58 Lakh
3 Beds,Apartment,"Sector 5, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.06 Crore
2 Beds,Apartment,"Colonel Jones Road, Colonel Hat, 10 No. North Kattali Ward, Chattogram",2 Beds,2 Beds,50 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh
3 Beds,Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,2 Crore
3 Beds,Apartment,"Shegunbagicha, Dhaka",3 Beds,3 Beds,1.6 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.12 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.08 Crore
3 Beds,Apartment,"Sector 5, Uttara, Dhaka",3 Beds,3 Beds,1 Crore
3 Beds,Apartment,"Block E, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.08 Crore
3 Beds,Apartment,"East Monipur, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh
3 Beds,Apartment,"East Monipur, Mirpur, Dhaka",3 Beds,3 Beds,65 Lakh
3 Beds,Apartment,"Sector 1, Block F, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.15 Crore
3 Beds,Apartment,"Sector 5, Uttara, Dhaka",3 Beds,3 Beds,1.1 Crore
,Plot,"Nikunja 2, Nikunja, Dhaka",,,5.5 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,58 Lakh
3 Beds,Apartment,"Block D, Section 2, Mirpur, Dhaka",3 Beds,3 Beds,88 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,58 Lakh
3 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",3 Beds,3 Beds,1.15 Crore
4 Beds,Apartment,"Block D, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.5 Crore
4 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.5 Crore
4 Beds,Apartment,"Sector 1, Block F, Aftab Nagar, Dhaka",4 Beds,4 Beds,2 Crore
,Plot,"Bashundhara R-A, Dhaka",,,3.75 Crore
3 Beds,Apartment,"Sector 13, Uttara, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 Beds,3 Beds,78 Lakh
2 Beds,Apartment,"Block E, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,52 Lakh
3 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",3 Beds,3 Beds,48 Lakh
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,62 Lakh
3 Beds,Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Sector 4, Uttara, Dhaka",3 Beds,3 Beds,1.52 Crore
3 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 Beds,3 Beds,58 Lakh
3 Beds,Apartment,"Naya Paltan, Motijheel, Dhaka",3 Beds,3 Beds,1.28 Crore
3 Beds,Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,99 Lakh
3 Beds,Apartment,"Malibagh, Dhaka",3 Beds,3 Beds,1.15 Crore
3 Beds,Apartment,"Sector 2, Block D, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.2 Crore
3 Beds,Apartment,"Sector 2, Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,2 Crore
,Plot,"Jigatola, Hazaribag, Dhaka",,,2.65 Crore
5 Beds,Duplex,"Dhanmondi, Dhaka",5 Beds,5 Beds,8.7 Crore
3 Beds,Apartment,"Sector 4, Uttara, Dhaka",3 Beds,3 Beds,1.52 Crore
3 Beds,Apartment,"Turag, Dhaka",3 Beds,3 Beds,75 Lakh
4 Beds,Apartment,"Taltola, Khilgaon, Dhaka",4 Beds,4 Beds,3.2 Crore
4 Beds,Apartment,"Sector 12, Uttara, Dhaka",4 Beds,4 Beds,4.2 Crore
3 Beds,Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,2.65 Crore
4 Beds,Apartment,"Road No 28, Sector 7, Uttara, Dhaka",4 Beds,4 Beds,4.1 Crore
2 Beds,Apartment,"Sector 13, Uttara, Dhaka",2 Beds,2 Beds,1.15 Crore
5 Beds,Apartment,"Bashundhara Riverview, South Keraniganj, Keraniganj, Dhaka",5 Beds,5 Beds,2.15 Crore
3 Beds,Apartment,"Purbanchal Road, Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,62 Lakh
2 Beds,Apartment,"Block B, New Town R/A, Matuail, Demra, Dhaka",2 Beds,2 Beds,40 Lakh
4 Beds,Apartment,"Kahektuli, Bangshal, Dhaka",4 Beds,4 Beds,95 Lakh
3 Beds,Apartment,"East Kazipara, Mirpur, Dhaka",3 Beds,3 Beds,1.05 Crore
2 Beds,Apartment,"Block E, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,52 Lakh
2 Beds,Apartment,"Block E, Section 1, Mirpur, Dhaka",2 Beds,2 Beds,52 Lakh
3 Beds,Apartment,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",3 Beds,3 Beds,95 Lakh
4 Beds,Apartment,"Block I, Bashundhara R-A, Dhaka",4 Beds,4 Beds,2.2 Crore
3 Beds,Apartment,"Turag, Dhaka",3 Beds,3 Beds,75 Lakh
2 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 Beds,2 Beds,52 Lakh
3 Beds,Apartment,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",3 Beds,3 Beds,82 Lakh
2 Beds,Apartment,"Block B, New Town R/A, Matuail, Demra, Dhaka",2 Beds,2 Beds,60 Lakh
3 Beds,Apartment,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",3 Beds,3 Beds,79 Lakh
3 Beds,Apartment,"Sector 2, Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.1 Crore
3 Beds,Apartment,"Shukrabad, Dhanmondi, Dhaka",3 Beds,3 Beds,1 Crore
4 Beds,Apartment,"Road No 28, Sector 7, Uttara, Dhaka",4 Beds,4 Beds,4.1 Crore
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.9 Crore
2 Beds,Apartment,Dhaka,2 Beds,2 Beds,30 Lakh
4 Beds,Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,3.9 Crore
3 Beds,Apartment,"Kathalbagan, Dhaka",3 Beds,3 Beds,2 Crore
2 Beds,Apartment,"West Kazipara, Mirpur, Dhaka",2 Beds,2 Beds,70 Lakh
3 Beds,Apartment,"Dolairpar, Kadamtali, Shyampur, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Shiddheswari, Dhaka",3 Beds,3 Beds,1.8 Crore
3 Beds,Apartment,"Block B, Banasree, Dhaka",3 Beds,3 Beds,1.32 Crore
3 Beds,Apartment,"Sector 4, Uttara, Dhaka",3 Beds,3 Beds,1.9 Crore
3 Beds,Apartment,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",3 Beds,3 Beds,70 Lakh
3 Beds,Apartment,"Sector 4, Uttara, Dhaka",3 Beds,3 Beds,1.9 Crore
3 Beds,Apartment,"Dolairpar, Kadamtali, Shyampur, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Block B, New Town R/A, Matuail, Demra, Dhaka",3 Beds,3 Beds,60 Lakh
3 Beds,Apartment,"Block I, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.45 Crore
3 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.72 Crore
3 Beds,Apartment,"Sector 3, Uttara, Dhaka",3 Beds,3 Beds,1.46 Crore
4 Beds,Apartment,"Sector 3, Uttara, Dhaka",4 Beds,4 Beds,3.35 Crore
4 Beds,Apartment,"South Banasree Project, Banasree, Dhaka",4 Beds,4 Beds,1.55 Crore
3 Beds,Apartment,"Tajmahal Road, Mohammadpur, Dhaka",3 Beds,3 Beds,1.85 Crore
,Plot,"Hazaribag, Dhaka",,,1.4 Crore
3 Beds,Apartment,"Block H, Banasree, Dhaka",3 Beds,3 Beds,1.15 Crore
4 Beds,Apartment,"Block C, Banasree, Dhaka",4 Beds,4 Beds,1.65 Crore
2 Beds,Apartment,"Block B, New Town R/A, Matuail, Demra, Dhaka",2 Beds,2 Beds,45 Lakh
3 Beds,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"Block TA, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.5 Crore
2 Beds,Apartment,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 Beds,2 Beds,40 Lakh
3 Beds,Apartment,"Block B, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,98 Lakh
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"Jagannathpur, Badda, Dhaka",3 Beds,3 Beds,88 Lakh
5 Beds,Apartment,"Block TA, Section 6, Mirpur, Dhaka",5 Beds,5 Beds,1.35 Crore
6 Beds,Duplex,"Naya Paltan, Motijheel, Dhaka",6 Beds,6 Beds,5.12 Crore
3 Beds,Apartment,"Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.65 Crore
3 Beds,Apartment,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,1.6 Crore
3 Beds,Apartment,"Maghbazar, Dhaka",3 Beds,3 Beds,80.5 Lakh
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1 Crore
3 Beds,Apartment,"24 No. North Agrabad Ward, Double Mooring, Chattogram",3 Beds,3 Beds,66.95 Lakh
3 Beds,Apartment,"Sector 14, Uttara, Dhaka",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"South Badda, Badda, Dhaka",3 Beds,3 Beds,50 Lakh
4 Beds,Apartment,"Bashabo, Dhaka",4 Beds,4 Beds,82 Lakh
3 Beds,Apartment,"Malibagh, Dhaka",3 Beds,3 Beds,1.3 Crore
3 Beds,Apartment,"Block H, Banasree, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,1.15 Crore
2 Beds,Apartment,"South Matuail, Matuail, Demra, Dhaka",2 Beds,2 Beds,38.35 Lakh
2 Beds,Apartment,"South Matuail, Matuail, Demra, Dhaka",2 Beds,2 Beds,38.35 Lakh
3 Beds,Apartment,"Chondalvog, Turag, Dhaka",3 Beds,3 Beds,75 Lakh
3 Beds,Apartment,"Chondalvog, Turag, Dhaka",3 Beds,3 Beds,85 Lakh
2 Beds,Apartment,"Kuratoli, Kuril, Dhaka",2 Beds,2 Beds,1.2 Crore
3 Beds,Apartment,"Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.5 Crore
3 Beds,Apartment,"Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,1.65 Crore
2 Beds,Apartment,"Block D, Nobodoy Housing Society, Mohammadpur, Dhaka",2 Beds,2 Beds,1.3 Crore
3 Beds,Apartment,"Munshi Para, Munir Nagar, 37 No. North-Middle Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,56 Lakh
3 Beds,Apartment,"Malibagh, Dhaka",3 Beds,3 Beds,98 Lakh
3 Beds,Apartment,"Block E, South Banasree Project, Banasree, Dhaka",3 Beds,3 Beds,78 Lakh
3 Beds,Apartment,"Sector 2, Block H, Aftab Nagar, Dhaka",3 Beds,3 Beds,85 Lakh
3 Beds,Apartment,"Maghbazar, Dhaka",3 Beds,3 Beds,72 Lakh
3 Beds,Apartment,"Jagannathpur, Badda, Dhaka",3 Beds,3 Beds,1.06 Crore
3 Beds,Apartment,"West Nurer Chala, Nurer Chala, Badda, Dhaka",3 Beds,3 Beds,99 Lakh
3 Beds,Apartment,"Jagannathpur, Badda, Dhaka",3 Beds,3 Beds,87 Lakh
3 Beds,Apartment,"Jagannathpur, Badda, Dhaka",3 Beds,3 Beds,87 Lakh
2 Beds,Apartment,"Uttar Badda, Badda, Dhaka",2 Beds,2 Beds,60 Lakh
3 Beds,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3 Beds,3 Beds,1.08 Crore
3 Beds,Apartment,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"Malibagh, Dhaka",3 Beds,3 Beds,1.38 Crore
3 Beds,Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,1.95 Crore
3 Beds,Apartment,"Road No 2, Sector 6, Uttara, Dhaka",3 Beds,3 Beds,2.2 Crore
4 Beds,Apartment,"Shayesta Khan Ave, Sector 4, Uttara, Dhaka",4 Beds,4 Beds,3.9 Crore
3 Beds,Apartment,"Bashabo, Dhaka",3 Beds,3 Beds,82 Lakh
2 Beds,Apartment,"Shiddheswari, Dhaka",2 Beds,2 Beds,1.05 Crore
3 Beds,Apartment,"Gulbag, Malibagh, Dhaka",3 Beds,3 Beds,77 Lakh
3 Beds,Apartment,"Moushair, Dakshin Khan, Dhaka",3 Beds,3 Beds,45 Lakh
2 Beds,Apartment,"Shiddheswari, Dhaka",2 Beds,2 Beds,1.05 Crore
3 Beds,Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.25 Crore
3 Beds,Apartment,"Bagan Bari, Cantonment, Dhaka",3 Beds,3 Beds,62 Lakh
3 Beds,Apartment,"Mirpur, Dhaka",3 Beds,3 Beds,70 Lakh
2 Beds,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",2 Beds,2 Beds,50 Lakh
3 Beds,Apartment,"Block B, Banasree, Dhaka",3 Beds,3 Beds,1.06 Crore
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,70 Lakh
2 Beds,Apartment,"Uttar Badda, Badda, Dhaka",2 Beds,2 Beds,67 Lakh
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,72 Lakh
4 Beds,Apartment,"Abdullahbag, Uttar Badda, Badda, Dhaka",4 Beds,4 Beds,1.35 Crore
3 Beds,Apartment,"Munshi Para, Munir Nagar, 37 No. North-Middle Halishahar Ward, Halishahar, Chattogram",3 Beds,3 Beds,45 Lakh
3 Beds,Apartment,"Nayatola, Maghbazar, Dhaka",3 Beds,3 Beds,82 Lakh
3 Beds,Apartment,"Maghbazar, Dhaka",3 Beds,3 Beds,1.55 Crore
3 Beds,Apartment,"Middle Badda, Badda, Dhaka",3 Beds,3 Beds,68 Lakh
3 Beds,Apartment,"Nayatola, Maghbazar, Dhaka",3 Beds,3 Beds,1.32 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,78.42 Lakh
4 Beds,Apartment,"Malibagh, Dhaka",4 Beds,4 Beds,1.12 Crore
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,77.4 Lakh
3 Beds,Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Comfort Housing, Adabor, Dhaka",3 Beds,3 Beds,90 Lakh
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,77.4 Lakh
3 Beds,Apartment,"Dakkhin Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,73.5 Lakh
3 Beds,Apartment,"East Shewrapara, Mirpur, Dhaka",3 Beds,3 Beds,68 Lakh
3 Beds,Apartment,"Uttar Badda, Badda, Dhaka",3 Beds,3 Beds,53 Lakh
2 Beds,Apartment,"Dakshin Khan, Dhaka",2 Beds,2 Beds,50 Lakh
3 Beds,Apartment,"Bibir Bagicha, Jatra Bari, Dhaka",3 Beds,3 Beds,60 Lakh
,Plot,"Demra, Dhaka",,,2 Crore
3 Beds,Apartment,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,95 Lakh
3 Beds,Apartment,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",3 Beds,3 Beds,1.6 Crore
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore
3 Beds,Apartment,"Block F, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.45 Crore
3 Beds,Apartment,"Block B, Banasree, Dhaka",3 Beds,3 Beds,1.15 Crore
4 Beds,Duplex,"Banani, Dhaka",4 Beds,4 Beds,4 Crore
3 Beds,Apartment,"Purana Paltan, Motijheel, Dhaka",3 Beds,3 Beds,1.05 Crore
